,genres,tmdbId,overview,tagline,title,keywords,cast,movieId,director
587,"['Fantasy', 'Animation', 'Family']",408,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own.","The Happiest, Dopiest, Grumpiest, Sneeziest movie of the year.",Snow White and the Seven Dwarfs,"['poison', 'witch', 'becoming an adult', 'sadness', 'queen', 'attempted murder', 'dying and death', 'appearance', 'princess', 'candlelight vigil', 'snow white']","['Adriana Caselotti', 'Lucille La Verne', 'Harry Stockwell', 'Roy Atwell', 'Pinto Colvig', 'Otis Harlan', 'Scotty Mattraw', 'Billy Gilbert', 'Eddie Collins', 'Moroni Olsen', 'Stuart Buchanan', 'Marion Darlington', 'Purv Pullen']",594,David Hand
588,"['Romance', 'Family', 'Animation', 'Fantasy', 'Music']",10020,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",The most beautiful love story ever told.,Beauty and the Beast,"['prince', 'book', 'castle', 'rose', 'musical', 'princess', 'animation', 'based on tv series', 'beast', 'belle']","[""Paige O'Hara"", 'Robby Benson', 'Richard White', 'Jerry Orbach', 'David Ogden Stiers', 'Angela Lansbury', 'Rex Everhart', 'Jesse Corti', 'Bradley Pierce', 'Hal Smith', 'Jo Anne Worley', 'Mary Kay Bergman', 'Kath Soucie', 'Alvin Epstein', 'Tony Jay', 'Brian Cummings', 'Alec Murphy', 'Kimmy Robertson', 'Frank Welker', 'Alex Murphy', 'David Ogden Stiers']",595,Gary Trousdale
589,"['Animation', 'Family']",10895,"Lonely toymaker Geppetto has his wishes answered when the Blue Fairy arrives to bring his wooden puppet Pinocchio to life. Before becoming a real boy, however, Pinocchio must prove he's worthy as he sets off on an adventure with his whistling sidekick and conscience, Jiminy Cricket. From Stromboli's circus to Pleasure Island, Pinocchio is tested by many temptations, but slowly learns how to navigate right from wrong. With a few mishaps along the way, Geppetto's ""little woodenhead"" finally gets it right, proving that when you wish upon a star dreams really can come true!",For anyone who has ever wished upon a star.,Pinocchio,"['italy', 'lie', 'magic', 'fairy', 'pinocchio', 'carnival', 'wish', 'boy', 'nose', 'puppet', 'animation', 'pool', 'conscience', 'jackass', 'figaro', 'sneezing', 'toy comes to life']","['Mel Blanc', 'Don Brodie', 'Walter Catlett', 'Marion Darlington', 'Frankie Darro', 'Cliff Edwards', 'Dickie Jones', 'Charles Judels', 'Clarence Nash', 'Patricia Page', 'Christian Rub', 'Evelyn Venable']",596,Hamilton Luske
590,"['Romance', 'Comedy']",114,"When millionaire wheeler-dealer Edward Lewis enters a business contract with Hollywood hooker Vivian Ward, he loses his heart in the bargain in this charming romantic comedy. After Edward hires Vivian as his date for a week and gives her a Cinderella makeover, she returns the favor by mellowing the hardnosed tycoon's outlook. Can the poor prostitute and the rich capitalist live happily ever after?",Who knew it was so much fun to be a hooker?,Pretty Woman,"['prostitute', 'capitalism', 'cinderella', 'expensive restaurant', 'sports car', 'workaholic', 'fire escape', 'friendship', 'los angeles', 'piano']","['Julia Roberts', 'Richard Gere', 'Ralph Bellamy', 'Jason Alexander', 'Héctor Elizondo', 'Larry Miller', 'Laura San Giacomo', 'Alex Hyde-White', 'Elinor Donahue', 'Amy Yasbeck', 'Judith Baldwin', 'Hank Azaria', 'John David Carson', 'Michael French', 'Allan Kent', 'Stacy Keach, Sr.', 'Scott Marshall']",597,Garry Marshall
591,"['Comedy', 'Drama', 'Fantasy']",41043,"Nikolai (played by Sergei Dontsov) has been fired from his job as a music teacher and has to live in the gym until he finds a place to stay. Finally, he gets a communal room in the apartment of Gorokhov (Victor Mikhalkov). The room's previous inhabitant, an old lady, has died a year ago, and yet her cat, Maxi, is still in the locked room, healthy and fat. Soon, Nikolai and his neighbours discover the mystery: there is a window to Paris in the room. That's when the comedy begins - will the Russians be able to cope with the temptation to profit from the discovery?",,Window to Paris,"['paris', 'cat', 'music teacher', 'teacher', 'apartment']","['Viktor Mikhaylov', 'Nina Usatova', 'Agnès Soral', 'Sergei Dreiden', 'Kira Krejlis-Petrova', 'Viktor Gogolev', 'Elena Drapeko', 'Andrey Urgant', 'Jean Rupert', 'Natalya Ipatova', 'Tamara Timofeyeva', 'Malka Ribowska', 'Bernard Cassus-Soulanis', 'Vladimir Kaliche', 'Aleksei Zalivalov', 'Aleksei Kozodayev']",598,Yuri Mamin
592,"['Adventure', 'Western']",576,"Aging outlaw Pike Bishop (William Holden) prepares to retire after one final robbery. Joined by his gang, which includes Dutch Engstrom (Ernest Borgnine) and brothers Lyle (Warren Oates) and Tector Gorch (Ben Johnson), Bishop discovers the heist is a setup orchestrated in part by his old partner, Deke Thornton (Robert Ryan). As the remaining gang takes refuge in Mexican territory, Thornton trails them, resulting in fierce gunfights with plenty of casualties","If you only want to spend two hours in a movie theatre and go home and forget it, stay away from THE WILD BUNCH.",The Wild Bunch,"['underdog', 'robbery', 'bounty hunter', 'texas', 'mexican revolution', 'friendship', 'honor', 'gang', 'shootout', 'soldier', 'steam locomotive', 'righteous rage']","['William Holden', 'Ernest Borgnine', 'Robert Ryan', ""Edmond O'Brien"", 'Warren Oates', 'Jaime Sánchez', 'Ben Johnson', 'Emilio Fernández', 'Strother Martin', 'L.Q. Jones', 'Albert Dekker', 'Bo Hopkins', 'Dub Taylor', 'Paul Harper', 'Jorge Russek', 'Alfonso Aráu', 'Bill Hart', 'Rayford Barnes', 'Stephen Ferry', 'Sonia Amelio', 'Chalo González', 'Chano Urueta', 'Elsa Cárdenas', 'Aurora Clavel', 'Enrique Lucero', 'Elizabeth Dupeyrón', 'José Chávez', 'René Dupeyrón', 'Pedro Galván', 'Graciela Doring', 'Fernando Wagner', 'Ivan J. Rado', 'Margarito Luna', 'Lilia Castillo', 'Archie Butler', 'Tap Canutt', 'Gordon T. Dawson', 'Mickey Gilbert', ""Robert 'Buzz' Henry"", 'Buck Holland', 'Walt La Rue', 'Matthew Peckinpah', 'Jack Williams', 'Joe Yrigoyen']",599,Sam Peckinpah
593,"['Crime', 'Thriller']",15477,"Small-time criminal Watty Watts attempts to rob a convenience store with his drug-addict buddy, Billy Mack Black. The robbery, however, leads to murder, and soon Watty leaves Billy behind and goes on the run with his beloved girlfriend, Starlene. Heading toward Mexico, the fugitive couple gets plenty of media coverage, until there are even more people on their trail. Can Watty and Starlene make it south of the border without getting caught?",This is one jagged twisting ride you'll never forget.,Love and a .45,"['suspense', 'independent film']","['Gil Bellows', 'Renée Zellweger', 'Rory Cochrane', 'Jeffrey Combs', 'Jace Alexander', 'Peter Fonda', 'Ann Wedgeworth', 'Jack Nance', 'Charlotte Ross', 'Michael Bowen', 'Wiley Wiggins']",600,C.M. Talkington
594,"['Drama', 'Foreign', 'Romance']",59146,"Emerging from the Chinese film renaissance of the 1990s (Raise the Red Lantern, Farewell My Concubine) this haunting folk tale set in rural China in the 1920s tells the story of a young woman forces to grieve the death of a man she was destined to marry. Combining astonishing visuals with intriguing plot turns, this moving drama is not to be missed. When the spirited Young Mistress (Wang Lan) is kidnapped on the way to her arranged wedding, the groom is killed in an explosion in an attempt to rescue her. The peasant charged with her care, Kui (Chang Shih) manages to free her but the groom's bitter mother forces the Young Mistress to honor her agreement by marrying a wooden statue of her son, and staying chaste. Director Jianxin Huang's fascinating exploration of forbidden love and rigid social hierarchy reveals a culture in turmoil, where tradition is taken to cruel extremes and young lovers may not survive.",She defied a thousand years of tradition for one moment of passion,The Wooden Man's Bride,"['bride', 'chinese', 'groom', 'tofu']","['Gu Bao-Ming', 'Mingjun Kao', 'Lan Wang', 'Yumei Wang', 'Fuli Wang']",601,Huang Jianxin
595,[],124472,"Art Kane, now deceased, coordinated a group photograph of all the top jazz musicians in NYC in the year 1958, for a piece in Esquire magazine. Just about every jazz musician at the time showed up for the photo shoot which took place in front of a brownstone near the 125th street station. The documentary compiles interviews of many of the musicians in the photograph to talk about the day of the photograph, and it shows film footage taken that day by Milt Hinton and his wife.",,A Great Day in Harlem,['woman director'],[],602,Jean Bach
596,"['Comedy', 'Romance']",30528,"This film about is about three divorced men and their relationships with their ex-wives, their children, and new women in their lives. Donny still carries a torch for his ex, and has trouble relating to his teenage daughter, Emma. Dave can't make a commitment. Vic carries a lot of anger toward his ex, and winds up with the blind date from hell. Needling all of them is a blathering radio psychologist dispensing his advice on the subject of divorce.",,Bye Bye Love,[],"['Matthew Modine', 'Paul Reiser', 'Randy Quaid', 'Janeane Garofalo', 'Eliza Dushku', 'Rob Reiner', 'Amy Brenneman']",603,Sam Weisman
597,"['Comedy', 'Romance']",7300,"Melanie Parker, an architect and mother of Sammy, and Jack Taylor, a newspaper columnist and father of Maggie, are both divorced. They meet one morning when overwhelmed Jack is left unexpectedly with Maggie and forgets that Melanie was to take her to school. As a result, both children miss their school field trip and are stuck with the parents. The two adults project their negative stereotypes of ex-spouses on each other, but end up needing to rely on each other to watch the children as each must save his job. Humor is added by Sammy's propensity for lodging objects in his nose and Maggie's tendency to wander.",She was having a perfectly bad day... Then he came along and spoiled it.,One Fine Day,"['skab under tv', 'bagved', 'Øverste hylde']","['Michelle Pfeiffer', 'George Clooney', 'Mae Whitman', 'Alex D. Linz', 'Charles Durning', 'Jon Robin Baitz', 'Ellen Greene', 'Joe Grifasi', 'Pete Hamill', 'Anna Maria Horsford', 'Gregory Jbara', 'Sheila Kelley', 'Bitty Schram', 'Barry Kivel', 'Robert Klein', 'George Martin', 'Michael Massee', 'Amanda Peet', 'Holland Taylor', 'Rachel York', 'Marianne Muellerleile', 'Steven Jang', 'Samantha Cintrón', 'Victor Truro', 'Ashley Greenfield', 'Sidney Armus', 'Hal Panchansky', 'Maggie Wagner', 'Isabelle Ashland', 'Jasmin Hartmann', 'Larry Sherman', 'Shaun Duke', 'Thomas Schall', 'Michael Badalucco', 'Jeanie Van Dam', 'Kirstin Allen', 'Michael Genet', 'Julia Ryder Perce', 'P.J. Aliseo', 'Liam Ahern', 'José Rabelo', 'Darla Hill', 'Joe Avellar', 'Jullie Chung', 'Dale Kasman', 'Andrew Magarian', 'Katherine Argo', 'Rob Kelly-Buntzen', 'Brian Cahill', 'Fred Goehner', 'Kuniko Narai']",605,Michael Hoffman
598,['Horror'],10824,"The Candyman moves on to New Orleans and starts his horrific murders once more. This time, his intended victim is a school teacher. Her father was killed by the Candyman, and brother wrongly accused of the murders.",Evil comes when you call his name.,Candyman: Farewell to the Flesh,"['new orleans', 'sequel', 'murder', 'urban legend', 'curse', 'serial killer', 'slasher', 'hook', 'killer', 'mirror', 'hook for a hand', 'flashback']","['Tony Todd', 'Kelly Rowan', ""William O'Leary"", 'Bill Nunn', 'David Gianopoulos', 'Matt Clark', 'Timothy Carhart', 'Veronica Cartwright', 'Fay Hauser', 'Joshua Gibran Mayweather', 'Caroline Barclay', 'Michael Bergeron', 'Brianna Blanchard', 'Clotiel Bordeltier']",606,Bill Condon
599,"['Romance', 'Drama']",261246,Turn-of-the-century love story centered around a young doctor and the emergence of modern science.,,Century,"['london england', 'morality', 'doctor', 'science', 'protégé', 'turn of the century']","['Charles Dance', 'Clive Owen', 'Miranda Richardson', 'Robert Stephens', 'Joan Hickson', 'Lena Headey', 'Neil Stuke', 'Liza Walker', 'Joseph Bennett', 'Fiona Walker', 'Carlton Chance', 'Graham Loughridge', 'Lex Daniel', 'Ian Shaw', 'Mark Strong', 'Bruce Alexander', 'Anna Chancellor']",607,Stephen Poliakoff
600,"['Crime', 'Drama', 'Thriller']",275,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",A lot can happen in the middle of nowhere.,Fargo,"['cheating', 'ransom', 'salesclerk', 'winter', 'kidnapping', 'auto', 'unsociability', 'police', 'north dakota', 'murder', 'money', 'car dealership', 'woodchipper']","['William H. Macy', 'Frances McDormand', 'Steve Buscemi', 'Peter Stormare', 'Kristin Rudrüd', 'Harve Presnell', 'Tony Denman', 'Gary Houston', 'John Carroll Lynch', 'Sally Wingert', 'Steve Reevis', 'Steve Park', 'Larry Brandenburg', 'Kurt Schweickhardt', 'Larissa Kokernot', 'Melissa Peterman', 'Bruce Campbell']",608,Joel Coen
601,"['Adventure', 'Comedy', 'Drama', 'Family']",25059,"Your favorite talking animals are back! The film focuses on the further adventures of Shadow (voiced by Ralph Waite), Sassy (voiced by Sally Field), and Chance (voiced by Michael J. Fox). Shadow is the old, wise one and presumably the leader of the three. Sassy is the smart-aleck of the bunch, but helpful in times as well. Chance is the young, anxious one who usually gets into trouble and relies o",Your favorite talking animals are back!,Homeward Bound II: Lost in San Francisco,[],"['Michael J. Fox', 'Sally Field', 'Ralph Waite', 'Robert Hays', 'Kim Greist', 'Michael Bell', 'Tisha Campbell-Martin', 'Al Michaels', 'Tommy Lasorda', 'Bob Uecker', 'Tress MacNeille', 'Jon Polito', 'Adam Goldberg', 'Sinbad', 'Carla Gugino', 'Stephen Tobolowsky', 'Michael Rispoli', 'Will Sasso', 'Tom Wagner']",609,David R. Ellis
602,"['Animation', 'Science Fiction']",11827,"A glowing orb terrorizes a young girl with a collection of stories of dark fantasy, eroticism and horror.",A Step Beyond Science Fiction,Heavy Metal,"['flying car', 'taxi', 'heavy metal', 'cult favorite', 'midnight movie', 'drug use', 'adult animation']","['Rodger Bumpass', 'Jackie Burroughs', 'Joe Flaherty', 'Harold Ramis', 'John Candy', 'Don Francks', 'Caroline Semple', 'Richard Romanus', 'Susan Roman', 'Harvey Atkin', 'Al Waxman', 'Marilyn Lightstone', 'Glenis Wootton Gross', 'Eugene Levy', 'John Vernon', 'George Touliatos', 'August Schellenberg', 'Vlasta Vrána', 'Alice Playten']",610,Gerald Potterton
603,"['Horror', 'Thriller', 'Science Fiction']",8766,"In the 22nd century, a scientist attempts to right the wrong his ancestor created: the puzzle box that opens the gates of Hell and unleashes Pinhead and his Cenobite legions","This year, the past, the present and the future will all meet at the crossroads of hell.",Hellraiser: Bloodline,"['artificial intelligence', 'engineer', 'hell', 'pinhead', 'demon', 'puzzle box', 'cenobites', 'artificial']","['Bruce Ramsay', 'Valentina Vargas', 'Charlotte Chatton', 'Adam Scott', 'Kim Myers', 'Mickey Cottrell', 'Louis Turenne', 'Courtland Mead', 'Louis Mustillo', 'Jody St. Michael', 'Paul Perri', 'Pat Skipper', 'Christine Harnos', 'Wren T. Brown', 'Michael Polish', 'Doug Bradley', 'Mark Polish', 'Tom Dugan']",611,Kevin Yagher
604,"['Comedy', 'Romance']",23570,"Aspiring architect Tom Thompson is told by mysterious Ruth Abernathy that his best friend, ""Bill,"" has taken his own life. Except that Tom has never met Bill and neither have his incredulous friends. So when Tom foolishly agrees to give the eulogy at Bill's funeral, it sets him on a collision course with Ruth -- who is revealed to be Bill's oversexed mother -- and Julie DeMarco, the longtime crush Tom hasn't seen since they were teens.",Something magical is about to unfold in the most unexpected place.,The Pallbearer,"['independent film', 'mistaken identity']","['David Schwimmer', 'Gwyneth Paltrow', 'Michael Rapaport', 'Toni Collette', 'Carol Kane', 'Michael Vartan', 'Bitty Schram', 'Jean De Baer', 'Elizabeth Franz', 'Mark Margolis', 'Barbara Hershey', 'Edoardo Ballerini']",612,Matt Reeves
605,"['Drama', 'Romance']",47333,"Jane Eyre is an orphan cast out as a young girl by her aunt, Mrs. Reed, and sent to be raised in a harsh charity school for girls. There she learns to be come a teacher and eventually seeks employment outside the school. Her advertisement is answered by the housekeeper of Thornfield Hall, Mrs. Fairfax.",The passionate tale of forbidden secrets!,Jane Eyre,"['aunt', 'gentleman']","['Anna Paquin', 'Charlotte Gainsbourg', 'William Hurt', 'Joan Plowright', 'Nic Knight', 'Nicola Howard ', 'Sasha Graff', 'Fiona Shaw', 'John Wood', 'Geraldine Chaplin', 'Amanda Root', 'Leanne Rowe', 'Richard Warwick', 'Judith Parker']",613,Franco Zeffirelli
606,"['Drama', 'Mystery', 'Thriller']",54850,"A group of young friends convene in the countryside to shoot a horror movie. But an experiment with LSD sees normal boundaries between them collapsing, and tragedy subsequently striking.",,Loaded,"['countryside', 'drug abuse', 'tragedy', 'woman director']","['Oliver Milburn', 'Catherine McCormack', 'Thandie Newton', 'Danny Cunningham']",614,Anna Campion
607,"['Comedy', 'Foreign']",51242,Italian immigrant tries to become a member of Swiss society but fails as a waiter and even as a chicken plucker. He then becomes involved with shady wealthy character and tries to hide his Italian identity. He refuses to give up no matter how awful his situation.,You'll Laugh Till Your Heart Breaks,Bread and Chocolate,"['switzerland', 'worker', 'immigrant', 'hardship', 'xenophobia', 'foreigners']","['Nino Manfredi', 'Johnny Dorelli', 'Anna Karina', 'Paolo Turco', ""Ugo D'Alessio""]",615,Franco Brusati
608,"['Animation', 'Comedy', 'Family', 'Adventure']",10112,"When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children -- Bonfamille's prize family of domesticated house cats -- the butler plots to steal the money and kidnaps the heirs, leaving them out on a country road. All seems lost until the wily Thomas O'Malley Cat and his jazz-playing alley cats come to the Aristocats's rescue.",A tune-filled animated extravaganza.,The Aristocats,"['paris', 'cat', 'butler', 'return', 'suspension', 'music', 'inheritance']","['Phil Harris', 'Sterling Holloway', 'Scatman Crothers', 'Eva Gabor', 'Paul Winchell', 'Lord Tim Hudson', 'Vito Scotti', 'Thurl Ravenscroft', 'Dean Clark', 'Liz English', 'Gary Dubin', 'Nancy Kulp', 'Pat Buttram', 'George Lindsey', 'Monica Evans']",616,Wolfgang Reitherman
609,"['Drama', 'Romance']",4307,"Marisa Paredes is Leocadia (""Leo"") Macias, a woman writing “pink” romance novels under the alias of Amanda Gris that are very popular all across Spain. Unlike her romantic novels, her own love life is troubled. Leo has a less than happy relationship with her husband Paco, a military officer stationed in Brussels then later in Bosnia, who is distant both physically and emotionally.",Every woman has a secret...,The Flower of My Secret,"['spain', 'madrid', 'suicide attempt', 'mother daughter relationship', 'novelist', 'old woman']","['Marisa Paredes', 'Juan Echanove', 'Carme Elias', 'Rossy de Palma', 'Chus Lampreave', 'Kiti Mánver', 'Joaquín Cortés', 'Manuela Vargas', 'Imanol Arias', 'Gloria Muñoz', 'Juan José Otegui', 'Alicia Agut', 'Jordi Mollà']",617,Pedro Almodóvar
610,"['Comedy', 'Romance']",46029,A young gallerist is in love with two sisters at the same time. In order to solve the problem he decides to invent his own twin-brother.,,Two Much,[],"['Antonio Banderas', 'Melanie Griffith', 'Daryl Hannah', 'Danny Aiello', 'Joan Cusack', 'Eli Wallach', 'Gabino Diego', 'Austin Pendleton', 'Allan Rich', 'Vincent Schiavelli', 'Jeff Moldovan', 'Joe Hess']",618,Fernando Trueba
611,"['Comedy', 'Family']",32308,"Jack Cooper (Matt LeBlanc) could be a world-class baseball pitcher if he didn't keep buckling under the pressure. He tries to keep his spirits up after he's traded to a minor league team but loses all hope when he discovers that Ed, one of his teammates, is a chimp. Ed used to be the team mascot, but was promoted to third base when the owners realized he had a talent for baseball. As Jack struggles to get used to his new surroundings, Ed helps him regain his confidence on and off the field.",Minor league. Major friendship.,Ed,"['baseball', 'sport', 'monkey', 'chimpanzee', 'animal actor', 'critically bashed']","['Matt LeBlanc', 'Jack Warden', 'Jayne Brook', 'Bill Cobbs', 'Jim Caviezel', 'Gene Ross', 'Paul Hewitt', 'Troy Evans']",619,Bill Couturié
612,"['Adventure', 'Drama', 'Documentary']",88893,"A meeting of two world famous climbers, one an experienced mountaineer the other a sport climber, and a journalist (Ivan) results in a bet on which of the two is the best climber. Roger (the mountaineering expert) states that Martin (the sport climber) wouldn't survive a day on a 'real' climbing expedition, although he is considered to be the world's best sport climber (having just won an indoor 'world championship,' an event depicted in the opening scene). They plan to climb 'Cerro Torre,' in the Patagonia region of South America, near the Argentinian/Chilean border, one of the world's most difficult mountains, especially considering the extreme weather conditions common to the area.","In this battle, there can be no winners",Scream of Stone,"['mountain', 'mountaineer', 'climbing']","['Donald Sutherland', 'Brad Dourif', 'Vittorio Mezzogiorno', 'Mathilda May', 'Al Waxman', 'Gunilla Karlzen', 'Chavela Vargas', 'Georg Marischka', 'Volker Prechtel', 'Hans Kammerlander', 'Lautaro Murúa', 'Amelie Fried', 'Werner Herzog', 'Wolfgang Müller']",620,Werner Herzog
613,['Drama'],52873,"Old woman Berthe leaves her house to live in her daugter Emilie's one. Emilie and her brother Antoine have fallen out three years ago and have not seen each other since, but Emilie invites him for Christmas. Memories will come up, and will be depicted both Berthe's destiny and the strange relationship between Emilie and Antoine.",,My Favorite Season,"['reunion', 'memory', 'christmas']","['Daniel Auteuil', 'Marthe Villalonga', 'Catherine Deneuve', 'Jean-Pierre Bouvier', 'Chiara Mastroianni', 'Carmen Chaplin', 'Anthony Prada', 'Michèle Moretti', 'Jacques Nolot', 'Bruno Todeschini', 'Jean Bousquet', 'Roschdy Zem', 'Ingrid Caven']",621,André Téchiné
614,[],123505,"A Modern Affair is an independent feature directed by Vern Oakley and produced by Tribe Pictures. Starring Stanley Tucci and Lisa Eichhorn, the film's plot reverses the conventions of romantic comedies: instead of man meet woman - fall in love, marry and have baby, in this film the woman gets pregnant, then meets the father, then falls in love. Grace Rhodes (Lisa Eichhorn) is a lonely, successful executive whose biological clock is loudly ticking.","They met, fell in love, and had a baby. (Not necessarily in that order.)",A Modern Affair,[],"['Lisa Eichhorn', 'Stanley Tucci', 'Caroline Aaron', 'Mary Jo Salerno', 'Robert Joy', 'Wesley Addy', 'Robert LuPone', 'Cynthia Martells', 'J. Smith-Cameron', 'Vincent Young', 'Tammy Grimes']",623,
615,"['Thriller', 'Action', 'Drama']",340210,Prison guard falls in love with inmate. She wants him to let her escape.,,Condition Red,['prison guard'],"['James Russo', 'Cynda Williams', 'Paul Calderon', 'Victor Argo', 'Jonathan P. Shaw', 'Amanda Foster', 'John Ashton']",624,Mika Kaurismäki
616,"['Comedy', 'Drama']",44281,"Twelve-year-old Noura dangles uncertainly in that difficult netherworld between childhood and adulthood. His growing libido has gotten him banned from the women's baths, where his mother took him when he was younger, but he's not yet old enough to participate in grown-up discussions with the men of his Tunisian village. Noura's only real friend is a troublemaker named Salih -- the village political outcast.",,Halfaouine: Boy of the Terraces,['young boy'],"['Selim Boughedir', 'Mustafa Adouani', 'Rabia Ben Abdallah', 'Mohammed Driss']",625,Férid Boughedir
617,"['Comedy', 'Thriller', 'Crime', 'Romance']",28121,"Nightclub manager Darnell Wright is a perpetual playboy who is almost as devoted to his job as he is to the pursuit of beautiful women. After he sets his sights on the ultra-classy Brandi Web, he launches an all-out assault to win her heart. Ultimately, charm, lust and passion prevail, but Darnell learns the hard way that when you play, you pay. Brandi is much harder to get rid of than she was to get--especially when she realizes that she has a rival vying for Darnell's affection. When he finally decides to call it quits, Brandi becomes an obsessed femme fatale stalking the new love of her life.","When you play, you pay.",A Thin Line Between Love and Hate,"['revenge', 'african american', 'dating']","['Lynn Whitfield', 'Martin Lawrence', 'Regina King', 'Della Reese', 'Bobby Brown']",626,Martin Lawrence
618,"['Comedy', 'Thriller', 'Crime', 'Drama']",12520,"A group of idealistic, but frustrated, liberals succumb to the temptation of murdering rightwing pundits for their political beliefs.",Love... Sex... Life... Death. In this house it's all on the table.,The Last Supper,"['painter', 'sex', 'fascist', 'sexism', 'politics', 'wine', 'racist', 'satire', 'party', 'murder', 'priest', 'dinner', 'stabbing', 'death', 'hypocrisy', 'woman director', 'elitism', 'burial']","['Cameron Diaz', 'Ron Eldard', 'Courtney B. Vance', 'Bill Paxton', 'Ron Perlman', 'Annabeth Gish', 'Jonathan Penner', 'Nora Dunn', 'Dan Rosen', 'Charles Durning', 'Elisabeth Moss', 'Bryn Erin', 'Carly Weber', 'Amber Taylor', 'Matt Cooper', 'Mark Harmon', 'Gil Segel', 'Rachel Chagall']",627,Stacy Title
619,"['Crime', 'Drama', 'Mystery', 'Thriller']",1592,"An arrogant, high-powered attorney takes on the case of a poor altar boy found running away from the scene of the grisly murder of the bishop who has taken him in. The case gets a lot more complex when the accused reveals that there may or may not have been a 3rd person in the room. The intensity builds when a surprise twist alters everyone's perception of the crime.","Sooner or later, a man who wears two faces forgets which one is real.",Primal Fear,"['corruption', 'bishop', 'court case', 'pornographic video', 'court', 'psychopathy']","['Richard Gere', 'Edward Norton', 'Laura Linney', 'John Mahoney', 'Frances McDormand', ""Terry O'Quinn"", 'Andre Braugher', 'Steven Bauer', 'Joe Spano', 'Tony Plana', 'Alfre Woodard', 'Maura Tierney', 'Reg Rogers', 'Philip Ettington']",628,Gregory Hoblit
620,[],166901,"This is the Easter weekend. In an inner city project, three people struggle against their demons and try to find redemption. They are Maxine, a window dresser depressed since she had an abortion and lost her lover ; Jordan, a boxer who has indulged in gay-bashing ; and 'The General', a drug dealer turned artist.",Action speaks louder than words.,Rude,[],[],629,Clément Virgo
621,"['Drama', 'Romance']",36447,"Based on Jim Harrison's book, ""Farmer"". 47-year-old Joseph Svenden lives on the family farm with his dying mother and teaches at a two room schoolhouse with Rosealee, his lover and his best friend's widow. Joseph, who lacks a college degree, learns that he will lose his teaching job at the end of the year when the school district expands into his town. Meanwhile, he is seduced by 17-year-old Catherine, a new student in his class. His affair with Catherine and losing his teaching job forces Joseph to take a look at his previously dull life and to decide how he wants to live the rest of it.",A story of first loves and last chances.,Carried Away,"['secret', 'nudity', 'passion', 'widow', 'farm', 'teacher', 'relationship', 'attraction']","['Dennis Hopper', 'Amy Irving', 'Amy Locane', 'Julie Harris', 'Gary Busey', 'Hal Holbrook', 'Christopher Pettiet', 'Priscilla Pointer', 'Gail Cronauer', 'Joe Stevens', 'Connie Cooper', 'Eleese Lester', 'Doug Jackson']",630,Bruno Barreto
622,"['Romance', 'Animation', 'Family', 'Adventure', 'Fantasy']",19042,"Charlie and Itchy return to Earth to find Gabriel's Horn, but along the way meet up with a young boy named David, who ran away from home.",Heaven help us! Look who's back in the adventure of 2 lifetimes.,All Dogs Go to Heaven 2,['dog'],"['Ernest Borgnine', 'Bebe Neuwirth', 'Charlie Sheen', 'Hamilton Camp', 'Steve Mackall', 'Dan Castellaneta', 'Dom DeLuise', 'Tony Jay', 'Jim Cummings', 'Wallace Shawn', 'Sheena Easton', 'George Hearn', 'Adam Wylie', 'Kevin Michael Richardson', 'Pat Corley']",631,Paul Sabella
623,"['Drama', 'History', 'War', 'Romance']",38884,"The movie narrates the story of David Carr, an unemployed worker and member of the Communist Party of Great Britain. In 1936 he decides to fight for the Republican side in the Spanish Civil War, an anti-fascist coalition of liberals, communists and anarchists. Similar to George Orwell's experiences documented in Homage to Catalonia, he joins the POUM worker militia and witnesses first hand the betrayal of the Spanish revolution by the Stalinists, loyal only to the dictat of Moscow.",The fight against fascism begins with the fight against Stalinism.,Land and Freedom,"['spain', 'solidarity', 'fascism', 'revolution', 'communist', 'worker', 'spanish civil war', 'anarchist', 'franco regime', 'marxism', 'betrayal', 'working class']","['Ian Hart', 'Rosana Pastor', 'Frédéric Pierrot', 'Icíar Bollaín', 'Tom Gilroy', 'Angela Clarke', 'Eoin McCarthy', 'Suzanne Maddock', 'Mandy Walsh', 'Miguel Cabrillana', 'Jordi Dauder', 'Pep Molina', 'Francesc Orella']",632,Ken Loach
